Allele	8	9	10	11	12	13	14
A0101	0.7971	0.42342	0.435279	0.451507	0.4535	0.451294	0.522229
A0201	0.719877	0.435402	0.471011	0.441368	0.463523	0.475374	0.582538
A0202	0.962178	0.411542	0.495672	0.492785	0.550041	0.586044	0.539283
A0203	0.813569	0.416737	0.451099	0.530446	0.603468	0.64104	0.583179
A0204	0.845795	0.401042	0.547945	0.525797	0.589748	0.637763	0.542024
A0205	0.929542	0.418182	0.480688	0.50967	0.54223	0.591983	0.525789
A0206	0.921164	0.424868	0.481019	0.462937	0.541592	0.573428	0.562128
A0207	0.916799	0.399082	0.543196	0.476147	0.584666	0.566496	0.544251
A0211	0.763675	0.420436	0.512078	0.440797	0.530602	0.570103	0.5295
A0220	0.83493	0.409294	0.494136	0.44445	0.544562	0.536638	0.519009
A0252	0.818986	0.40398	0.535862	0.516134	0.582616	0.569555	0.533889
A0301	0.845079	0.447898	0.454759	0.450095	0.45996	0.438929	0.454776
A0302	0.846418	0.413226	0.447122	0.441006	0.52824	0.513629	0.535125
A1101	0.695179	0.436782	0.452046	0.436349	0.47023	0.459554	0.492605
A1102	0.870126	0.418156	0.438852	0.436891	0.510415	0.521566	0.557091
A2301	0.886611	0.383711	0.524326	0.456899	0.567072	0.614898	0.570577
A2402	0.82327	0.394446	0.535448	0.493191	0.576937	0.637031	0.612828
A2407	0.844973	0.388639	0.502341	0.466477	0.536489	0.556552	0.554894
A2501	0.89503	0.405504	0.402947	0.468549	0.59952	0.59744	0.522227
A2601	0.84049	0.399557	0.454049	0.457319	0.51263	0.559251	0.566895
A2608	0.808721	0.339468	0.490564	0.466635	0.581544	0.536288	0.540545
A2902	0.797928	0.415539	0.521208	0.536125	0.590301	0.526416	0.5272
A3001	0.79135	0.418163	0.490878	0.478749	0.528642	0.517282	0.48427
A3002	0.787582	0.437639	0.464999	0.503121	0.50474	0.544654	0.478414
A3101	0.841217	0.420322	0.496801	0.422945	0.502025	0.555162	0.512577
A3201	0.804851	0.405932	0.482164	0.449617	0.531583	0.491304	0.549225
A3301	0.757416	0.409386	0.509849	0.42095	0.514257	0.511347	0.467588
A3303	0.717198	0.434687	0.479989	0.44711	0.482133	0.471596	0.439251
A3401	0.789229	0.393325	0.457255	0.499801	0.535174	0.557196	0.480225
A3402	0.827505	0.40152	0.451069	0.496969	0.533877	0.555561	0.561421
A3601	0.766315	0.417287	0.416225	0.433281	0.42548	0.404589	0.433475
A6601	0.804066	0.404152	0.444385	0.4661	0.505321	0.5213	0.552984
A6801	0.919313	0.468643	0.457298	0.436061	0.45956	0.470322	0.49193
A6802	0.817219	0.398872	0.484519	0.498374	0.524096	0.494834	0.493069
A6901	0.822986	0.364539	0.503547	0.534013	0.57751	0.567386	0.532237
A7401	0.824502	0.445317	0.476913	0.428209	0.528088	0.487003	0.55565
B0702	0.783006	0.491237	0.481097	0.479015	0.537346	0.566161	0.638452
B0704	0.777224	0.38205	0.462679	0.505405	0.553374	0.569551	0.552567
B0801	0.582594	0.403069	0.58506	0.592134	0.747614	0.607015	0.614574
B1301	0.719455	0.413342	0.493668	0.552053	0.565239	0.527171	0.497133
B1302	0.707679	0.387452	0.524052	0.525553	0.583032	0.595605	0.595233
B1401	0.663874	0.381548	0.520348	0.500344	0.484558	0.476051	0.434191
B1402	0.548363	0.396646	0.588776	0.609195	0.592311	0.585674	0.577508
B1501	0.682887	0.422166	0.470373	0.487165	0.53298	0.540637	0.535955
B1502	0.701125	0.385969	0.505772	0.570925	0.606063	0.605144	0.613131
B1503	0.810044	0.379999	0.49511	0.507197	0.58177	0.547559	0.488801
B1510	0.633957	0.327899	0.523026	0.565985	0.667036	0.613115	0.560562
B1511	0.630968	0.36938	0.486968	0.540788	0.593274	0.554291	0.568
B1513	0.652806	0.366205	0.500725	0.532056	0.583197	0.556165	0.532751
B1517	0.738773	0.390923	0.51853	0.513435	0.572803	0.588132	0.540195
B1518	0.766613	0.342668	0.513906	0.529955	0.599259	0.567819	0.618718
B1801	0.53874	0.380414	0.547562	0.549426	0.606068	0.596323	0.56268
B1803	0.591556	0.364319	0.54267	0.518861	0.486015	0.480173	0.469276
B1805	0.513964	0.392317	0.565363	0.592947	0.615758	0.562053	0.528966
B2704	0.789821	0.382009	0.498592	0.552134	0.524489	0.577056	0.572471
B2705	0.81257	0.449319	0.49094	0.481965	0.51099	0.559628	0.617266
B2709	0.838556	0.405262	0.493811	0.460417	0.498287	0.520765	0.543437
B3501	0.736134	0.394675	0.487522	0.475863	0.535109	0.524896	0.515053
B3502	0.731118	0.379698	0.51202	0.488471	0.620554	0.56412	0.504663
B3503	0.833063	0.384795	0.514469	0.470569	0.545553	0.53578	0.647897
B3507	0.812238	0.385382	0.477548	0.469579	0.493655	0.563818	0.644534
B3508	0.80946	0.346971	0.45837	0.457613	0.534117	0.500485	0.496552
B3701	0.563263	0.358736	0.627239	0.575012	0.609938	0.572609	0.476143
B3801	0.821102	0.347036	0.500965	0.478147	0.57263	0.693323	0.608897
B3802	0.878479	0.365999	0.471506	0.444331	0.573654	0.642094	0.627872
B3901	0.74725	0.348731	0.539423	0.523758	0.565611	0.578925	0.565849
B3905	0.655505	0.32702	0.552925	0.570109	0.585927	0.581159	0.545962
B3906	0.657943	0.381101	0.539352	0.503391	0.576381	0.554364	0.550187
B3924	0.590872	0.383034	0.561182	0.538057	0.532758	0.503763	0.501
B4001	0.775274	0.501912	0.480569	0.493458	0.503063	0.537132	0.560252
B4002	0.713703	0.492266	0.488529	0.486098	0.510375	0.507636	0.552584
B4006	0.693464	0.398229	0.463142	0.454521	0.526553	0.529191	0.553555
B4032	0.805811	0.363292	0.480294	0.525412	0.575399	0.58965	0.538964
B4101	0.779187	0.412398	0.452929	0.446493	0.526079	0.531394	0.463702
B4201	0.781476	0.425873	0.483922	0.467687	0.546725	0.54513	0.549379
B4402	0.920765	0.443914	0.455948	0.46487	0.522366	0.52126	0.568733
B4403	0.923452	0.448608	0.467777	0.469453	0.544255	0.606988	0.792836
B4405	0.765925	0.421517	0.508096	0.559288	0.607624	0.576433	0.549833
B4501	0.873037	0.379237	0.529497	0.51397	0.651388	0.576774	0.553533
B4601	0.683728	0.397686	0.486941	0.561889	0.550087	0.540715	0.479086
B4701	0.599363	0.43309	0.486814	0.505303	0.522457	0.516337	0.534713
B4801	0.654283	0.363384	0.549514	0.561212	0.558275	0.503643	0.47175
B4901	0.806767	0.373791	0.553045	0.556781	0.627134	0.58115	0.506864
B5001	0.800025	0.360891	0.475623	0.519792	0.558431	0.599612	0.484653
B5101	0.553455	0.39741	0.566853	0.61662	0.579632	0.610941	0.639366
B5108	0.630665	0.360218	0.585059	0.536694	0.523392	0.51922	0.466677
B5201	0.541488	0.392245	0.57292	0.531295	0.534733	0.499236	0.452954
B5301	0.755046	0.393261	0.459466	0.475312	0.472819	0.568696	0.571993
B5401	0.64128	0.412456	0.478274	0.471593	0.541483	0.509104	0.488589
B5501	0.732805	0.440647	0.537822	0.528555	0.658621	0.621789	0.628897
B5502	0.792897	0.440352	0.490353	0.511523	0.554055	0.580786	0.544179
B5601	0.725427	0.465631	0.511202	0.511208	0.604501	0.599891	0.56412
B5701	0.68325	0.470396	0.460082	0.457342	0.477831	0.567863	0.566907
B5703	0.636155	0.407088	0.489582	0.517191	0.538602	0.541221	0.550429
B5801	0.76871	0.385188	0.478345	0.496573	0.526999	0.496352	0.491245
B5802	0.585062	0.41404	0.562881	0.470702	0.552078	0.495307	0.476924
B6701	0.85761	0.438824	0.456179	0.464547	0.532614	0.611282	0.574757
