8	A0101	0.701429	0.227511
9	A0101	0.420221	0.269139
10	A0101	0.435192	0.222474
11	A0101	0.447538	0.197656
12	A0101	0.444538	0.179202
13	A0101	0.438401	0.157946
14	A0101	0.468611	0.134523
8	A0201	0.630017	0.247417
9	A0201	0.420306	0.386861
10	A0201	0.482481	0.275840
11	A0201	0.479577	0.245147
12	A0201	0.487968	0.186003
13	A0201	0.449223	0.151522
14	A0201	0.454657	0.140731
8	A0202	1.000131	0.439534
9	A0202	0.415291	0.405100
10	A0202	0.483635	0.269761
11	A0202	0.470210	0.217448
12	A0202	0.444784	0.162219
13	A0202	0.477252	0.149863
14	A0202	0.421805	0.139308
8	A0203	0.817139	0.436127
9	A0203	0.408710	0.394794
10	A0203	0.440441	0.293526
11	A0203	0.450619	0.175770
12	A0203	0.463393	0.150257
13	A0203	0.473438	0.138425
14	A0203	0.434548	0.128652
8	A0204	0.880588	0.426572
9	A0204	0.405381	0.389402
10	A0204	0.485972	0.233398
11	A0204	0.481696	0.213680
12	A0204	0.515065	0.195894
13	A0204	0.565541	0.179962
14	A0204	0.491908	0.166563
8	A0205	1.009234	0.437901
9	A0205	0.419340	0.399137
10	A0205	0.465920	0.279654
11	A0205	0.470101	0.220107
12	A0205	0.389256	0.136475
13	A0205	0.410320	0.125829
14	A0205	0.373012	0.116728
8	A0206	0.910362	0.432549
9	A0206	0.419579	0.392778
10	A0206	0.457693	0.278348
11	A0206	0.433951	0.234713
12	A0206	0.415295	0.147170
13	A0206	0.434840	0.135909
14	A0206	0.416722	0.126363
8	A0207	0.879931	0.435661
9	A0207	0.385614	0.362903
10	A0207	0.513256	0.262776
11	A0207	0.458862	0.231777
12	A0207	0.539782	0.213709
13	A0207	0.560177	0.196458
14	A0207	0.501849	0.181688
8	A0211	0.747032	0.390311
9	A0211	0.411163	0.361154
10	A0211	0.477656	0.228872
11	A0211	0.420311	0.221934
12	A0211	0.420641	0.156935
13	A0211	0.435334	0.143852
14	A0211	0.426824	0.134272
8	A0220	0.862400	0.358202
9	A0220	0.407887	0.328709
10	A0220	0.456346	0.222785
11	A0220	0.419021	0.213193
12	A0220	0.481182	0.195300
13	A0220	0.476159	0.180096
14	A0220	0.555679	0.166371
8	A0301	0.668454	0.202073
9	A0301	0.447929	0.308251
10	A0301	0.450513	0.237246
11	A0301	0.453384	0.223715
12	A0301	0.463562	0.191220
13	A0301	0.422534	0.165621
14	A0301	0.405509	0.134480
8	A0302	0.808687	0.325822
9	A0302	0.415553	0.297721
10	A0302	0.426828	0.229472
11	A0302	0.424682	0.215621
12	A0302	0.417487	0.149889
13	A0302	0.405223	0.137322
14	A0302	0.435707	0.127925
8	A1101	0.557970	0.176347
9	A1101	0.444469	0.314286
10	A1101	0.455613	0.248814
11	A1101	0.438451	0.221946
12	A1101	0.452961	0.172973
13	A1101	0.401798	0.141354
14	A1101	0.360787	0.109439
8	A1102	0.898375	0.349900
9	A1102	0.429145	0.315098
10	A1102	0.435029	0.239146
11	A1102	0.434988	0.221327
12	A1102	0.428022	0.159626
13	A1102	0.409035	0.136473
14	A1102	0.426463	0.126103
8	A2301	0.926060	0.354542
9	A2301	0.361948	0.320711
10	A2301	0.505903	0.237784
11	A2301	0.443757	0.213416
12	A2301	0.500749	0.162899
13	A2301	0.512614	0.143933
14	A2301	0.501777	0.134537
8	A2402	0.715823	0.222921
9	A2402	0.373701	0.313538
10	A2402	0.521254	0.231317
11	A2402	0.478209	0.208516
12	A2402	0.488829	0.153644
13	A2402	0.495849	0.141749
14	A2402	0.493859	0.132278
8	A2407	0.876680	0.333646
9	A2407	0.368131	0.256495
10	A2407	0.468179	0.215274
11	A2407	0.434035	0.188583
12	A2407	0.490453	0.173585
13	A2407	0.487684	0.160192
14	A2407	0.576261	0.148576
8	A2501	0.932309	0.400437
9	A2501	0.394344	0.366389
10	A2501	0.393721	0.292781
11	A2501	0.449828	0.199790
12	A2501	0.555956	0.183412
13	A2501	0.535667	0.168609
14	A2501	0.489283	0.156811
8	A2601	0.971139	0.383852
9	A2601	0.388444	0.350380
10	A2601	0.442056	0.254557
11	A2601	0.428725	0.203270
12	A2601	0.452846	0.160006
13	A2601	0.449843	0.144634
14	A2601	0.445354	0.134894
8	A2902	0.810841	0.302173
9	A2902	0.390945	0.273849
10	A2902	0.482970	0.179550
11	A2902	0.471447	0.160812
12	A2902	0.483858	0.143941
13	A2902	0.404496	0.138602
14	A2902	0.431562	0.128645
8	A3001	0.514305	0.166082
9	A3001	0.424318	0.274104
10	A3001	0.460975	0.196886
11	A3001	0.454161	0.193666
12	A3001	0.400444	0.129524
