rank	score
0.001	1.01778
0.002	0.90325
0.003	0.78804
0.004	0.74732
0.005	0.72362
0.006	0.66819
0.007	0.62762
0.008	0.6001
0.009	0.58556
0.01	0.56341
0.02	0.40479
0.03	0.31864
0.04	0.25149
0.05	0.19894
0.06	0.14773
0.07	0.10168
0.08	0.05983
0.09	0.02989
0.1	-0.00077
0.2	-0.22113
0.3	-0.35653
0.4	-0.45663
0.5	-0.53772
0.6	-0.6037
0.7	-0.66192
0.8	-0.71374
0.9	-0.75848
1.0	-0.79919
2.0	-1.08906
3.0	-1.2777
4.0	-1.42025
5.0	-1.53446
6.0	-1.63256
7.0	-1.71842
8.0	-1.79482
9.0	-1.8651
10.0	-1.92945
20.0	-2.40728
30.0	-2.74518
40.0	-3.03063
50.0	-3.29578
60.0	-3.55573
70.0	-3.83229
80.0	-4.14905
90.0	-4.57822
100.0	-7.43917
