rank	score
0.001	1.55153
0.002	1.37671
0.003	1.30447
0.004	1.19816
0.005	1.12049
0.006	1.04867
0.007	0.99166
0.008	0.92661
0.009	0.89389
0.01	0.86446
0.02	0.58916
0.03	0.45301
0.04	0.36134
0.05	0.26984
0.06	0.2091
0.07	0.14813
0.08	0.09379
0.09	0.03713
0.1	-0.00108
0.2	-0.27444
0.3	-0.46562
0.4	-0.58933
0.5	-0.6971
0.6	-0.78297
0.7	-0.85571
0.8	-0.9224
0.9	-0.97883
1.0	-1.03027
2.0	-1.39524
3.0	-1.60956
4.0	-1.76271
5.0	-1.88594
6.0	-1.98753
7.0	-2.07589
8.0	-2.15423
9.0	-2.22562
10.0	-2.2897
20.0	-2.75588
30.0	-3.08313
40.0	-3.35695
50.0	-3.60976
60.0	-3.85936
70.0	-4.12246
80.0	-4.42701
90.0	-4.85053
100.0	-8.06738
