rank	score
0.001	1.20476
0.002	1.04947
0.003	0.96496
0.004	0.91602
0.005	0.85705
0.006	0.81993
0.007	0.78245
0.008	0.75011
0.009	0.68261
0.01	0.64994
0.02	0.457
0.03	0.34314
0.04	0.27094
0.05	0.19673
0.06	0.15232
0.07	0.10463
0.08	0.06239
0.09	0.03184
0.1	-0.00064
0.2	-0.24277
0.3	-0.38235
0.4	-0.48831
0.5	-0.57485
0.6	-0.64683
0.7	-0.70825
0.8	-0.76478
0.9	-0.81433
1.0	-0.86235
2.0	-1.17115
3.0	-1.36946
4.0	-1.51447
5.0	-1.63576
6.0	-1.73755
7.0	-1.82813
8.0	-1.90871
9.0	-1.98214
10.0	-2.04899
20.0	-2.54021
30.0	-2.88361
40.0	-3.17283
50.0	-3.43887
60.0	-3.69962
70.0	-3.97017
80.0	-4.27752
90.0	-4.69096
100.0	-7.78424
