rank	score
0.001	1.34948
0.002	1.24136
0.003	1.10343
0.004	1.0316
0.005	0.951
0.006	0.90967
0.007	0.86592
0.008	0.84584
0.009	0.79496
0.01	0.77205
0.02	0.56948
0.03	0.43497
0.04	0.31908
0.05	0.23208
0.06	0.17248
0.07	0.11965
0.08	0.07222
0.09	0.03209
0.1	-0.0004
0.2	-0.24737
0.3	-0.4047
0.4	-0.52268
0.5	-0.60815
0.6	-0.68392
0.7	-0.75147
0.8	-0.81024
0.9	-0.86344
1.0	-0.91359
2.0	-1.25295
3.0	-1.46754
4.0	-1.62806
5.0	-1.75975
6.0	-1.87011
7.0	-1.9691
8.0	-2.05685
9.0	-2.13577
10.0	-2.20787
20.0	-2.7355
30.0	-3.10713
40.0	-3.41726
50.0	-3.70153
60.0	-3.98159
70.0	-4.27603
80.0	-4.61086
90.0	-5.06489
100.0	-7.94175
