rank	score
0.001	1.17169
0.002	1.04084
0.003	0.9875
0.004	0.94885
0.005	0.88537
0.006	0.84837
0.007	0.80399
0.008	0.78448
0.009	0.74301
0.01	0.71671
0.02	0.5255
0.03	0.39461
0.04	0.30654
0.05	0.23334
0.06	0.17887
0.07	0.11959
0.08	0.07516
0.09	0.03426
0.1	-0.00235
0.2	-0.24634
0.3	-0.4042
0.4	-0.51474
0.5	-0.60644
0.6	-0.68239
0.7	-0.74749
0.8	-0.80598
0.9	-0.85742
1.0	-0.90716
2.0	-1.23806
3.0	-1.44944
4.0	-1.61113
5.0	-1.74215
6.0	-1.85223
7.0	-1.95042
8.0	-2.03623
9.0	-2.11414
10.0	-2.18508
20.0	-2.7125
30.0	-3.07992
40.0	-3.38128
50.0	-3.65135
60.0	-3.9129
70.0	-4.18503
80.0	-4.49896
90.0	-4.93041
100.0	-8.14429
