rank	score
0.001	1.48514
0.002	1.31111
0.003	1.21428
0.004	1.09819
0.005	1.01346
0.006	0.9795
0.007	0.94136
0.008	0.89661
0.009	0.86696
0.01	0.83714
0.02	0.62069
0.03	0.48253
0.04	0.38396
0.05	0.29329
0.06	0.20548
0.07	0.14958
0.08	0.09329
0.09	0.04434
0.1	0.0
0.2	-0.29792
0.3	-0.47827
0.4	-0.60299
0.5	-0.70094
0.6	-0.77989
0.7	-0.8487
0.8	-0.91086
0.9	-0.96515
1.0	-1.01773
2.0	-1.36375
3.0	-1.58875
4.0	-1.75329
5.0	-1.88344
6.0	-1.99584
7.0	-2.09223
8.0	-2.17601
9.0	-2.25341
10.0	-2.32277
20.0	-2.81303
30.0	-3.14613
40.0	-3.42484
50.0	-3.679
60.0	-3.93061
70.0	-4.19648
80.0	-4.50791
90.0	-4.93398
100.0	-7.95916
