rank	score
0.001	1.11164
0.002	0.98647
0.003	0.94378
0.004	0.85592
0.005	0.78785
0.006	0.73909
0.007	0.70387
0.008	0.68199
0.009	0.63163
0.01	0.61958
0.02	0.42489
0.03	0.322
0.04	0.25415
0.05	0.18376
0.06	0.13628
0.07	0.09712
0.08	0.06915
0.09	0.03509
0.1	-0.00039
0.2	-0.20865
0.3	-0.35729
0.4	-0.46454
0.5	-0.54882
0.6	-0.61644
0.7	-0.67727
0.8	-0.73179
0.9	-0.78305
1.0	-0.82781
2.0	-1.14241
3.0	-1.34356
4.0	-1.49644
5.0	-1.61902
6.0	-1.72375
7.0	-1.81813
8.0	-1.90042
9.0	-1.97394
10.0	-2.04227
20.0	-2.54618
30.0	-2.9051
40.0	-3.20744
50.0	-3.48338
60.0	-3.75798
70.0	-4.04418
80.0	-4.37252
90.0	-4.81592
100.0	-7.90946
