rank	score
0.001	1.28304
0.002	1.17011
0.003	1.0633
0.004	1.03298
0.005	0.97799
0.006	0.9053
0.007	0.83713
0.008	0.7818
0.009	0.73302
0.01	0.7127
0.02	0.5249
0.03	0.41188
0.04	0.32078
0.05	0.23853
0.06	0.1664
0.07	0.11288
0.08	0.07367
0.09	0.03169
0.1	-0.00061
0.2	-0.25295
0.3	-0.40459
0.4	-0.52065
0.5	-0.60693
0.6	-0.68362
0.7	-0.74989
0.8	-0.8066
0.9	-0.85773
1.0	-0.90323
2.0	-1.23326
3.0	-1.44016
4.0	-1.59367
5.0	-1.72073
6.0	-1.82537
7.0	-1.91699
8.0	-1.99897
9.0	-2.0717
10.0	-2.14
20.0	-2.63609
30.0	-2.9812
40.0	-3.26884
50.0	-3.53248
60.0	-3.79417
70.0	-4.06851
80.0	-4.38638
90.0	-4.81863
100.0	-7.98314
