rank	score
0.001	1.11959
0.002	1.04161
0.003	0.94208
0.004	0.88261
0.005	0.82722
0.006	0.78591
0.007	0.72236
0.008	0.71158
0.009	0.67273
0.01	0.65094
0.02	0.49843
0.03	0.39527
0.04	0.30575
0.05	0.24755
0.06	0.17664
0.07	0.11892
0.08	0.07638
0.09	0.03239
0.1	-0.00098
0.2	-0.28059
0.3	-0.45354
0.4	-0.58077
0.5	-0.68723
0.6	-0.76596
0.7	-0.83811
0.8	-0.89828
0.9	-0.95034
1.0	-0.99951
2.0	-1.33236
3.0	-1.54547
4.0	-1.70412
5.0	-1.83464
6.0	-1.9463
7.0	-2.04315
8.0	-2.12976
9.0	-2.20961
10.0	-2.28131
20.0	-2.80448
30.0	-3.16703
40.0	-3.46711
50.0	-3.74373
60.0	-4.01546
70.0	-4.30112
80.0	-4.63582
90.0	-5.08594
100.0	-8.70514
