rank	score
0.001	1.1324
0.002	1.04287
0.003	0.97113
0.004	0.93795
0.005	0.90048
0.006	0.86725
0.007	0.83963
0.008	0.78604
0.009	0.7673
0.01	0.73823
0.02	0.57552
0.03	0.45353
0.04	0.34672
0.05	0.28247
0.06	0.22393
0.07	0.15933
0.08	0.103
0.09	0.0531
0.1	-0.00018
0.2	-0.3603
0.3	-0.57007
0.4	-0.71884
0.5	-0.83247
0.6	-0.92325
0.7	-0.99407
0.8	-1.05472
0.9	-1.10828
1.0	-1.15431
2.0	-1.48197
3.0	-1.6882
4.0	-1.85031
5.0	-1.98411
6.0	-2.09861
7.0	-2.19776
8.0	-2.28629
9.0	-2.36691
10.0	-2.43931
20.0	-2.94958
30.0	-3.28865
40.0	-3.56787
50.0	-3.8227
60.0	-4.07686
70.0	-4.34565
80.0	-4.65837
90.0	-5.08741
100.0	-8.72387
