rank	score
0.001	1.24586
0.002	1.11942
0.003	1.06135
0.004	0.98852
0.005	0.89788
0.006	0.86729
0.007	0.84504
0.008	0.80052
0.009	0.74772
0.01	0.71652
0.02	0.51612
0.03	0.39057
0.04	0.29928
0.05	0.22156
0.06	0.1704
0.07	0.11357
0.08	0.0649
0.09	0.03334
0.1	-0.00031
0.2	-0.24321
0.3	-0.40865
0.4	-0.52746
0.5	-0.62072
0.6	-0.70132
0.7	-0.76736
0.8	-0.82407
0.9	-0.8766
1.0	-0.92545
2.0	-1.25426
3.0	-1.46279
4.0	-1.61772
5.0	-1.74249
6.0	-1.85041
7.0	-1.94422
8.0	-2.02884
9.0	-2.1062
10.0	-2.17593
20.0	-2.68256
30.0	-3.02479
40.0	-3.30927
50.0	-3.56805
60.0	-3.82373
70.0	-4.0951
80.0	-4.41247
90.0	-4.85474
100.0	-8.58905
