rank	score
0.001	0.94166
0.002	0.81988
0.003	0.7887
0.004	0.74308
0.005	0.66175
0.006	0.62642
0.007	0.60631
0.008	0.58635
0.009	0.55268
0.01	0.53673
0.02	0.38467
0.03	0.31177
0.04	0.24487
0.05	0.18874
0.06	0.14319
0.07	0.09707
0.08	0.05988
0.09	0.02643
0.1	-0.00024
0.2	-0.20433
0.3	-0.33828
0.4	-0.43324
0.5	-0.51404
0.6	-0.58457
0.7	-0.64664
0.8	-0.69577
0.9	-0.74338
1.0	-0.78734
2.0	-1.08687
3.0	-1.27543
4.0	-1.41918
5.0	-1.53884
6.0	-1.63793
7.0	-1.72589
8.0	-1.8027
9.0	-1.87595
10.0	-1.9425
20.0	-2.43151
30.0	-2.78041
40.0	-3.0734
50.0	-3.34524
60.0	-3.61619
70.0	-3.90167
80.0	-4.22981
90.0	-4.67829
100.0	-8.56922
