rank	score
0.001	1.12371
0.002	1.05925
0.003	0.9622
0.004	0.8934
0.005	0.85629
0.006	0.79133
0.007	0.75074
0.008	0.73582
0.009	0.72042
0.01	0.69272
0.02	0.5135
0.03	0.38827
0.04	0.2982
0.05	0.23193
0.06	0.17739
0.07	0.1216
0.08	0.07575
0.09	0.02937
0.1	-0.00096
0.2	-0.23666
0.3	-0.39458
0.4	-0.50722
0.5	-0.60078
0.6	-0.67212
0.7	-0.74193
0.8	-0.7999
0.9	-0.84907
1.0	-0.89864
2.0	-1.22337
3.0	-1.42951
4.0	-1.58583
5.0	-1.71418
6.0	-1.82211
7.0	-1.91572
8.0	-2.00151
9.0	-2.07847
10.0	-2.14817
20.0	-2.65895
30.0	-3.01533
40.0	-3.31013
50.0	-3.58078
60.0	-3.8456
70.0	-4.12636
80.0	-4.44989
90.0	-4.8882
100.0	-8.60656
