rank	score
0.001	1.36509
0.002	1.17972
0.003	1.07986
0.004	1.00118
0.005	0.92548
0.006	0.90601
0.007	0.82955
0.008	0.79084
0.009	0.77497
0.01	0.74044
0.02	0.53417
0.03	0.42893
0.04	0.33593
0.05	0.2622
0.06	0.19805
0.07	0.13448
0.08	0.0761
0.09	0.03876
0.1	0.0
0.2	-0.26906
0.3	-0.42863
0.4	-0.55281
0.5	-0.65043
0.6	-0.72898
0.7	-0.79713
0.8	-0.85525
0.9	-0.90936
1.0	-0.95532
2.0	-1.28496
3.0	-1.48942
4.0	-1.64429
5.0	-1.76747
6.0	-1.86899
7.0	-1.95638
8.0	-2.03322
9.0	-2.10362
10.0	-2.16955
20.0	-2.6416
30.0	-2.97067
40.0	-3.25107
50.0	-3.5131
60.0	-3.771
70.0	-4.04558
80.0	-4.36508
90.0	-4.80262
100.0	-8.28037
