rank	score
0.001	1.15675
0.002	1.0195
0.003	0.91125
0.004	0.85769
0.005	0.81844
0.006	0.77897
0.007	0.75405
0.008	0.73595
0.009	0.70811
0.01	0.68321
0.02	0.48319
0.03	0.38422
0.04	0.30008
0.05	0.22583
0.06	0.179
0.07	0.12885
0.08	0.08418
0.09	0.04133
0.1	-0.00131
0.2	-0.25146
0.3	-0.41433
0.4	-0.53056
0.5	-0.62727
0.6	-0.70556
0.7	-0.7759
0.8	-0.83661
0.9	-0.88586
1.0	-0.93404
2.0	-1.26227
3.0	-1.47018
4.0	-1.62385
5.0	-1.74636
6.0	-1.85174
7.0	-1.94461
8.0	-2.02483
9.0	-2.09813
10.0	-2.16547
20.0	-2.66141
30.0	-3.01171
40.0	-3.30694
50.0	-3.5788
60.0	-3.84742
70.0	-4.13142
80.0	-4.45861
90.0	-4.90255
100.0	-8.09383
