rank	score
0.001	0.82305
0.002	0.74096
0.003	0.65599
0.004	0.61793
0.005	0.5815
0.006	0.55275
0.007	0.53085
0.008	0.50784
0.009	0.49966
0.01	0.49508
0.02	0.35085
0.03	0.28821
0.04	0.2265
0.05	0.16512
0.06	0.1208
0.07	0.07976
0.08	0.05574
0.09	0.02029
0.1	0.0
0.2	-0.17768
0.3	-0.29422
0.4	-0.37709
0.5	-0.44612
0.6	-0.51006
0.7	-0.56277
0.8	-0.61151
0.9	-0.65339
1.0	-0.69314
2.0	-0.98382
3.0	-1.17837
4.0	-1.32378
5.0	-1.44293
6.0	-1.54839
7.0	-1.63785
8.0	-1.72238
9.0	-1.79603
10.0	-1.86374
20.0	-2.37274
30.0	-2.73693
40.0	-3.04626
50.0	-3.32875
60.0	-3.60791
70.0	-3.89394
80.0	-4.21614
90.0	-4.65238
100.0	-8.30946
