rank	score
0.001	1.02113
0.002	0.87181
0.003	0.81807
0.004	0.77921
0.005	0.72593
0.006	0.69114
0.007	0.66204
0.008	0.65046
0.009	0.61981
0.01	0.59902
0.02	0.42637
0.03	0.32668
0.04	0.25624
0.05	0.20732
0.06	0.15432
0.07	0.1089
0.08	0.06948
0.09	0.03299
0.1	-0.00031
0.2	-0.25441
0.3	-0.40541
0.4	-0.52171
0.5	-0.61259
0.6	-0.68798
0.7	-0.75135
0.8	-0.81033
0.9	-0.86102
1.0	-0.90766
2.0	-1.24064
3.0	-1.45124
4.0	-1.60939
5.0	-1.73625
6.0	-1.84593
7.0	-1.9392
8.0	-2.02456
9.0	-2.10184
10.0	-2.17125
20.0	-2.67487
30.0	-3.01793
40.0	-3.298
50.0	-3.5521
60.0	-3.80359
70.0	-4.0718
80.0	-4.38073
90.0	-4.81206
100.0	-8.38616
