rank	score
0.001	1.06243
0.002	0.95238
0.003	0.85105
0.004	0.79267
0.005	0.72574
0.006	0.70859
0.007	0.64795
0.008	0.61742
0.009	0.59962
0.01	0.57431
0.02	0.39755
0.03	0.31452
0.04	0.24203
0.05	0.18318
0.06	0.13767
0.07	0.10009
0.08	0.0636
0.09	0.0312
0.1	-7e-05
0.2	-0.20849
0.3	-0.34182
0.4	-0.44171
0.5	-0.52133
0.6	-0.58683
0.7	-0.64541
0.8	-0.69601
0.9	-0.74194
1.0	-0.78521
2.0	-1.08358
3.0	-1.27279
4.0	-1.41932
5.0	-1.54066
6.0	-1.64323
7.0	-1.73008
8.0	-1.80863
9.0	-1.88241
10.0	-1.94784
20.0	-2.43664
30.0	-2.7874
40.0	-3.08127
50.0	-3.35325
60.0	-3.62141
70.0	-3.90677
80.0	-4.23351
90.0	-4.67937
100.0	-7.63071
