rank	score
0.001	1.6459
0.002	1.54538
0.003	1.45928
0.004	1.40626
0.005	1.27388
0.006	1.21222
0.007	1.16419
0.008	1.11016
0.009	1.0745
0.01	1.0267
0.02	0.72556
0.03	0.55718
0.04	0.42816
0.05	0.31282
0.06	0.22479
0.07	0.15282
0.08	0.09697
0.09	0.04947
0.1	-0.00034
0.2	-0.30561
0.3	-0.49547
0.4	-0.62485
0.5	-0.7263
0.6	-0.81181
0.7	-0.88192
0.8	-0.94503
0.9	-0.99935
1.0	-1.05657
2.0	-1.41853
3.0	-1.65451
4.0	-1.83375
5.0	-1.97615
6.0	-2.09637
7.0	-2.20137
8.0	-2.29365
9.0	-2.37645
10.0	-2.45165
20.0	-2.99721
30.0	-3.37374
40.0	-3.69176
50.0	-3.98467
60.0	-4.27623
70.0	-4.58097
80.0	-4.92978
90.0	-5.40342
100.0	-8.80879
