rank	score
0.001	1.38126
0.002	1.17467
0.003	1.15139
0.004	1.0784
0.005	1.00778
0.006	0.94802
0.007	0.89851
0.008	0.8729
0.009	0.82925
0.01	0.81034
0.02	0.58651
0.03	0.44202
0.04	0.339
0.05	0.25189
0.06	0.19516
0.07	0.13746
0.08	0.08328
0.09	0.04264
0.1	0.0
0.2	-0.28919
0.3	-0.45601
0.4	-0.58007
0.5	-0.68032
0.6	-0.7632
0.7	-0.82945
0.8	-0.89336
0.9	-0.94715
1.0	-0.99567
2.0	-1.33884
3.0	-1.55326
4.0	-1.71278
5.0	-1.84126
6.0	-1.94931
7.0	-2.04366
8.0	-2.12628
9.0	-2.20036
10.0	-2.26956
20.0	-2.76414
30.0	-3.11038
40.0	-3.39988
50.0	-3.66415
60.0	-3.9263
70.0	-4.20111
80.0	-4.5213
90.0	-4.95517
100.0	-8.37765
