rank	score
0.001	1.27734
0.002	1.18166
0.003	1.08825
0.004	0.99466
0.005	0.94834
0.006	0.92222
0.007	0.88726
0.008	0.85206
0.009	0.82441
0.01	0.8024
0.02	0.61541
0.03	0.49716
0.04	0.41436
0.05	0.32213
0.06	0.24741
0.07	0.17302
0.08	0.10833
0.09	0.04912
0.1	-0.00011
0.2	-0.33071
0.3	-0.52232
0.4	-0.65777
0.5	-0.76798
0.6	-0.85379
0.7	-0.92598
0.8	-0.98855
0.9	-1.04304
1.0	-1.09421
2.0	-1.44808
3.0	-1.67031
4.0	-1.84423
5.0	-1.98834
6.0	-2.11573
7.0	-2.22555
8.0	-2.32469
9.0	-2.41393
10.0	-2.49602
20.0	-3.06838
30.0	-3.43397
40.0	-3.72859
50.0	-3.99541
60.0	-4.25684
70.0	-4.53489
80.0	-4.85809
90.0	-5.29747
100.0	-9.23567
