rank	score
0.001	1.03629
0.002	0.9059
0.003	0.85903
0.004	0.79545
0.005	0.71055
0.006	0.69181
0.007	0.64715
0.008	0.61524
0.009	0.59175
0.01	0.58132
0.02	0.42723
0.03	0.33078
0.04	0.25914
0.05	0.20782
0.06	0.15111
0.07	0.1074
0.08	0.06864
0.09	0.03289
0.1	0.0
0.2	-0.22751
0.3	-0.37527
0.4	-0.48154
0.5	-0.5684
0.6	-0.6444
0.7	-0.70477
0.8	-0.76164
0.9	-0.81347
1.0	-0.85687
2.0	-1.17817
3.0	-1.38157
4.0	-1.53723
5.0	-1.662
6.0	-1.76671
7.0	-1.86189
8.0	-1.94487
9.0	-2.02027
10.0	-2.08838
20.0	-2.60224
30.0	-2.96705
40.0	-3.27303
50.0	-3.55489
60.0	-3.83278
70.0	-4.12517
80.0	-4.46316
90.0	-4.92385
100.0	-8.20045
