rank	score
0.001	1.45601
0.002	1.23112
0.003	1.07303
0.004	1.00903
0.005	0.97047
0.006	0.90176
0.007	0.86151
0.008	0.82492
0.009	0.81213
0.01	0.78735
0.02	0.58714
0.03	0.4545
0.04	0.35616
0.05	0.27426
0.06	0.20669
0.07	0.13668
0.08	0.08864
0.09	0.04378
0.1	-0.00048
0.2	-0.29155
0.3	-0.48776
0.4	-0.61029
0.5	-0.71621
0.6	-0.80003
0.7	-0.86681
0.8	-0.93052
0.9	-0.98593
1.0	-1.03564
2.0	-1.36505
3.0	-1.56516
4.0	-1.71407
5.0	-1.8343
6.0	-1.93619
7.0	-2.02387
8.0	-2.10127
9.0	-2.17173
10.0	-2.23651
20.0	-2.72034
30.0	-3.06432
40.0	-3.35535
50.0	-3.62689
60.0	-3.89598
70.0	-4.18216
80.0	-4.51159
90.0	-4.96189
100.0	-8.09061
