rank	score
0.001	0.9394
0.002	0.8889
0.003	0.84075
0.004	0.79921
0.005	0.74656
0.006	0.72021
0.007	0.70416
0.008	0.68123
0.009	0.6663
0.01	0.64239
0.02	0.49689
0.03	0.39286
0.04	0.30011
0.05	0.23417
0.06	0.18703
0.07	0.13918
0.08	0.08073
0.09	0.027
0.1	-0.00046
0.2	-0.32111
0.3	-0.52658
0.4	-0.68765
0.5	-0.80115
0.6	-0.89226
0.7	-0.9642
0.8	-1.02926
0.9	-1.08357
1.0	-1.13533
2.0	-1.46625
3.0	-1.68022
4.0	-1.84192
5.0	-1.9762
6.0	-2.09225
7.0	-2.19954
8.0	-2.29483
9.0	-2.3806
10.0	-2.45846
20.0	-3.01214
30.0	-3.37049
40.0	-3.65898
50.0	-3.92331
60.0	-4.18331
70.0	-4.45604
80.0	-4.77285
90.0	-5.21339
100.0	-9.13537
