rank	score
0.001	1.02485
0.002	0.88229
0.003	0.82221
0.004	0.74316
0.005	0.71333
0.006	0.68179
0.007	0.66565
0.008	0.63321
0.009	0.6027
0.01	0.57749
0.02	0.41504
0.03	0.31055
0.04	0.24653
0.05	0.18226
0.06	0.13881
0.07	0.09654
0.08	0.06343
0.09	0.02642
0.1	-0.00023
0.2	-0.19036
0.3	-0.30716
0.4	-0.39405
0.5	-0.46559
0.6	-0.52665
0.7	-0.57774
0.8	-0.62386
0.9	-0.66354
1.0	-0.70193
2.0	-0.9709
3.0	-1.14599
4.0	-1.27801
5.0	-1.38669
6.0	-1.47691
7.0	-1.55733
8.0	-1.63021
9.0	-1.6971
10.0	-1.75739
20.0	-2.21719
30.0	-2.55035
40.0	-2.8316
50.0	-3.09543
60.0	-3.35765
70.0	-3.63752
80.0	-3.9647
90.0	-4.41634
100.0	-7.65266
