rank	score
0.001	1.01155
0.002	0.88224
0.003	0.82232
0.004	0.77746
0.005	0.72581
0.006	0.70284
0.007	0.64351
0.008	0.63088
0.009	0.61563
0.01	0.5852
0.02	0.40767
0.03	0.30663
0.04	0.23609
0.05	0.18545
0.06	0.13766
0.07	0.10438
0.08	0.065
0.09	0.03432
0.1	-0.00035
0.2	-0.2115
0.3	-0.3556
0.4	-0.45707
0.5	-0.53731
0.6	-0.60498
0.7	-0.66572
0.8	-0.72271
0.9	-0.77086
1.0	-0.81443
2.0	-1.12942
3.0	-1.33022
4.0	-1.4817
5.0	-1.6072
6.0	-1.71503
7.0	-1.80854
8.0	-1.89259
9.0	-1.96865
10.0	-2.03741
20.0	-2.55245
30.0	-2.91519
40.0	-3.21901
50.0	-3.49823
60.0	-3.77312
70.0	-4.06307
80.0	-4.39676
90.0	-4.8512
100.0	-8.31843
