rank	score
0.001	1.06844
0.002	0.94593
0.003	0.86372
0.004	0.82114
0.005	0.78325
0.006	0.77019
0.007	0.74107
0.008	0.69604
0.009	0.67949
0.01	0.6427
0.02	0.49493
0.03	0.3895
0.04	0.31556
0.05	0.24698
0.06	0.18581
0.07	0.12721
0.08	0.07786
0.09	0.03323
0.1	0.0
0.2	-0.28137
0.3	-0.45714
0.4	-0.57589
0.5	-0.66761
0.6	-0.74411
0.7	-0.8068
0.8	-0.86893
0.9	-0.92168
1.0	-0.96908
2.0	-1.30446
3.0	-1.51183
4.0	-1.67248
5.0	-1.79871
6.0	-1.90863
7.0	-2.00478
8.0	-2.09198
9.0	-2.17001
10.0	-2.24306
20.0	-2.75694
30.0	-3.11137
40.0	-3.41144
50.0	-3.68693
60.0	-3.95612
70.0	-4.23756
80.0	-4.56448
90.0	-5.01463
100.0	-8.44018
