rank	score
0.001	1.12234
0.002	0.89922
0.003	0.82455
0.004	0.78154
0.005	0.73995
0.006	0.7055
0.007	0.67022
0.008	0.63105
0.009	0.6032
0.01	0.56907
0.02	0.44676
0.03	0.34971
0.04	0.2668
0.05	0.20238
0.06	0.15364
0.07	0.10587
0.08	0.06535
0.09	0.03297
0.1	-0.00063
0.2	-0.25208
0.3	-0.40702
0.4	-0.52443
0.5	-0.61923
0.6	-0.69754
0.7	-0.76284
0.8	-0.82203
0.9	-0.87596
1.0	-0.92182
2.0	-1.25464
3.0	-1.46844
4.0	-1.63101
5.0	-1.76184
6.0	-1.87487
7.0	-1.97317
8.0	-2.06304
9.0	-2.14482
10.0	-2.22002
20.0	-2.77186
30.0	-3.15722
40.0	-3.4799
50.0	-3.77668
60.0	-4.07081
70.0	-4.37991
80.0	-4.72952
90.0	-5.20122
100.0	-8.90347
