rank	score
0.001	1.46525
0.002	1.20392
0.003	1.08935
0.004	0.95693
0.005	0.89261
0.006	0.84561
0.007	0.81175
0.008	0.7787
0.009	0.73794
0.01	0.71685
0.02	0.52502
0.03	0.40941
0.04	0.31055
0.05	0.24106
0.06	0.1818
0.07	0.13297
0.08	0.08037
0.09	0.03715
0.1	-0.00095
0.2	-0.27689
0.3	-0.44486
0.4	-0.56631
0.5	-0.66351
0.6	-0.74457
0.7	-0.81226
0.8	-0.86896
0.9	-0.9219
1.0	-0.97374
2.0	-1.3182
3.0	-1.52676
4.0	-1.68374
5.0	-1.81491
6.0	-1.92396
7.0	-2.02073
8.0	-2.11117
9.0	-2.19069
10.0	-2.2645
20.0	-2.78464
30.0	-3.13967
40.0	-3.4311
50.0	-3.6957
60.0	-3.95518
70.0	-4.23387
80.0	-4.55598
90.0	-5.00436
100.0	-8.33893
