rank	score
0.001	1.1803
0.002	0.96932
0.003	0.89494
0.004	0.83667
0.005	0.78187
0.006	0.74678
0.007	0.7213
0.008	0.70019
0.009	0.68796
0.01	0.68257
0.02	0.49398
0.03	0.40694
0.04	0.31171
0.05	0.23391
0.06	0.17708
0.07	0.12671
0.08	0.07742
0.09	0.03083
0.1	-0.00066
0.2	-0.28471
0.3	-0.4507
0.4	-0.57781
0.5	-0.6795
0.6	-0.76054
0.7	-0.82867
0.8	-0.88549
0.9	-0.9422
1.0	-0.99508
2.0	-1.33533
3.0	-1.54793
4.0	-1.70539
5.0	-1.83155
6.0	-1.93854
7.0	-2.02999
8.0	-2.11092
9.0	-2.18473
10.0	-2.25242
20.0	-2.74918
30.0	-3.10047
40.0	-3.39692
50.0	-3.66959
60.0	-3.93958
70.0	-4.22022
80.0	-4.53993
90.0	-4.97303
100.0	-7.88023
