rank	score
0.001	0.97426
0.002	0.86755
0.003	0.84877
0.004	0.78081
0.005	0.74342
0.006	0.69602
0.007	0.67502
0.008	0.64754
0.009	0.61381
0.01	0.59417
0.02	0.40937
0.03	0.32402
0.04	0.24737
0.05	0.18428
0.06	0.13736
0.07	0.09006
0.08	0.06081
0.09	0.03173
0.1	-0.00093
0.2	-0.23115
0.3	-0.38597
0.4	-0.50136
0.5	-0.58687
0.6	-0.66408
0.7	-0.72965
0.8	-0.78744
0.9	-0.84335
1.0	-0.88874
2.0	-1.21455
3.0	-1.42141
4.0	-1.57369
5.0	-1.69697
6.0	-1.80311
7.0	-1.89552
8.0	-1.97775
9.0	-2.05275
10.0	-2.12116
20.0	-2.61787
30.0	-2.96455
40.0	-3.25672
50.0	-3.52506
60.0	-3.79025
70.0	-4.06739
80.0	-4.38437
90.0	-4.81517
100.0	-8.33505
